"threshold","sensitivity","specificity","f1","c_index","cal_slope","model","imputation"
0.1,0,1,0,0.847246940526969,1.13651761439086,"overall",1
0.25,0,1,0,0.847246940526969,1.13651761439086,"overall",1
0.5,0,1,0,0.847246940526969,1.13651761439086,"overall",1
0.75,0,1,0,0.847246940526969,1.13651761439086,"overall",1
0.9,0,1,0,0.847246940526969,1.13651761439086,"overall",1
0.1,0,1,0,0.850181848727584,1.21602489695331,"mard",1
0.25,0,1,0,0.850181848727584,1.21602489695331,"mard",1
0.5,0,1,0,0.850181848727584,1.21602489695331,"mard",1
0.75,0,1,0,0.850181848727584,1.21602489695331,"mard",1
0.9,0,1,0,0.850181848727584,1.21602489695331,"mard",1
0.1,0,1,0,0.880143474246942,1.03033060606321,"mod",1
0.25,0,1,0,0.880143474246942,1.03033060606321,"mod",1
0.5,0,1,0,0.880143474246942,1.03033060606321,"mod",1
0.75,0,1,0,0.880143474246942,1.03033060606321,"mod",1
0.9,0,1,0,0.880143474246942,1.03033060606321,"mod",1
0.1,0,1,0,0.962041090200339,0.410451329910013,"sidd",1
0.25,0,1,0,0.962041090200339,0.410451329910013,"sidd",1
0.5,0,1,0,0.962041090200339,0.410451329910013,"sidd",1
0.75,0,1,0,0.962041090200339,0.410451329910013,"sidd",1
0.9,0,1,0,0.962041090200339,0.410451329910013,"sidd",1
0.1,0,1,0,0.909148693563648,0.147388538143703,"sird",1
0.25,0,1,0,0.909148693563648,0.147388538143703,"sird",1
0.5,0,1,0,0.909148693563648,0.147388538143703,"sird",1
0.75,0,1,0,0.909148693563648,0.147388538143703,"sird",1
0.9,0,1,0,0.909148693563648,0.147388538143703,"sird",1
0.1,0,1,0,0.849243734527598,1.14357669961107,"overall",2
0.25,0,1,0,0.849243734527598,1.14357669961107,"overall",2
0.5,0,1,0,0.849243734527598,1.14357669961107,"overall",2
0.75,0,1,0,0.849243734527598,1.14357669961107,"overall",2
0.9,0,1,0,0.849243734527598,1.14357669961107,"overall",2
0.1,0,1,0,0.850100472898568,1.13898644842205,"mard",2
0.25,0,1,0,0.850100472898568,1.13898644842205,"mard",2
0.5,0,1,0,0.850100472898568,1.13898644842205,"mard",2
0.75,0,1,0,0.850100472898568,1.13898644842205,"mard",2
0.9,0,1,0,0.850100472898568,1.13898644842205,"mard",2
0.1,0,1,0,0.881735288837088,1.03487516781152,"mod",2
0.25,0,1,0,0.881735288837088,1.03487516781152,"mod",2
0.5,0,1,0,0.881735288837088,1.03487516781152,"mod",2
0.75,0,1,0,0.881735288837088,1.03487516781152,"mod",2
0.9,0,1,0,0.881735288837088,1.03487516781152,"mod",2
0.1,0,1,0,0.965683611847781,0.409238377974939,"sidd",2
0.25,0,1,0,0.965683611847781,0.409238377974939,"sidd",2
0.5,0,1,0,0.965683611847781,0.409238377974939,"sidd",2
0.75,0,1,0,0.965683611847781,0.409238377974939,"sidd",2
0.9,0,1,0,0.965683611847781,0.409238377974939,"sidd",2
0.1,0,1,0,0.908238918945147,0.149633151846812,"sird",2
0.25,0,1,0,0.908238918945147,0.149633151846812,"sird",2
0.5,0,1,0,0.908238918945147,0.149633151846812,"sird",2
0.75,0,1,0,0.908238918945147,0.149633151846812,"sird",2
0.9,0,1,0,0.908238918945147,0.149633151846812,"sird",2
0.1,0,1,0,0.847568274242275,1.14563819336087,"overall",3
0.25,0,1,0,0.847568274242275,1.14563819336087,"overall",3
