"model","threshold","sensitivity","specificity","f1","c_index","cal_slope"
"overall_coxph",0.1,"0.103 (0.003)","1.000 (0.000)","0.187 (0.006)","0.791 (0.000)","1.457 (0.009)"
"overall_coxph",0.25,"0.016 (0.003)","1.000 (0.000)","0.031 (0.005)","0.791 (0.000)","1.457 (0.009)"
"overall_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.791 (0.000)","1.457 (0.009)"
"overall_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.791 (0.000)","1.457 (0.009)"
"overall_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.791 (0.000)","1.457 (0.009)"
"mard_coxph",0.1,"0.003 (0.002)","1.000 (0.000)","0.007 (0.003)","0.862 (0.000)","0.652 (0.004)"
"mard_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.862 (0.000)","0.652 (0.004)"
"mard_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.862 (0.000)","0.652 (0.004)"
"mard_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.862 (0.000)","0.652 (0.004)"
"mard_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.862 (0.000)","0.652 (0.004)"
"mod_coxph",0.1,"0.173 (0.002)","0.992 (0.000)","0.259 (0.003)","0.876 (0.000)","0.998 (0.003)"
"mod_coxph",0.25,"0.127 (0.003)","0.999 (0.000)","0.222 (0.004)","0.876 (0.000)","0.998 (0.003)"
"mod_coxph",0.5,"0.101 (0.002)","1.000 (0.000)","0.183 (0.003)","0.876 (0.000)","0.998 (0.003)"
"mod_coxph",0.75,"0.060 (0.002)","1.000 (0.000)","0.113 (0.004)","0.876 (0.000)","0.998 (0.003)"
"mod_coxph",0.9,"0.034 (0.002)","1.000 (0.000)","0.066 (0.003)","0.876 (0.000)","0.998 (0.003)"
"sidd_coxph",0.1,"0.026 (0.002)","1.000 (0.000)","0.051 (0.004)","0.899 (0.000)","0.200 (0.002)"
"sidd_coxph",0.25,"0.006 (0.001)","1.000 (0.000)","0.012 (0.001)","0.899 (0.000)","0.200 (0.002)"
"sidd_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.899 (0.000)","0.200 (0.002)"
"sidd_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.899 (0.000)","0.200 (0.002)"
"sidd_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.899 (0.000)","0.200 (0.002)"
"sird_coxph",0.1,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.850 (0.000)","0.035 (0.000)"
"sird_coxph",0.25,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.850 (0.000)","0.035 (0.000)"
"sird_coxph",0.5,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.850 (0.000)","0.035 (0.000)"
"sird_coxph",0.75,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.850 (0.000)","0.035 (0.000)"
"sird_coxph",0.9,"0.000 (0.000)","1.000 (0.000)","0.000 (0.000)","0.850 (0.000)","0.035 (0.000)"
